Trip ID,Pickup Date,Pickup Hour,Vehicle,Payment_type,No.of passengers,Trip Distance,Booking Values,Pickup Location,Total Bookings
32,2024-06-01 00:00:00,1899-12-30 01:08:32,UberXL,Cash,1,2.4,$9.0,East Harlem South,1.0
33,2024-06-01 00:00:00,1899-12-30 01:23:40,UberX,Uber Pay,1,7.5,$22.5,Manhattan Valley,1.0
34,2024-06-01 00:00:00,1899-12-30 01:19:10,Uber Green,Cash,1,1.87,$9.5,Upper West Side North,1.0
35,2024-06-01 00:00:00,1899-12-30 01:22:30,UberXL,Cash,2,7.91,$24.5,Garment District,1.0
36,2024-06-01 00:00:00,1899-12-30 01:13:35,UberX,Uber Pay,1,5.3,$18.0,Midtown Center,1.0
37,2024-06-01 00:00:00,1899-12-30 01:32:31,Uber Black,Cash,1,3.4,$16.5,Clinton East,1.0
38,2024-06-01 00:00:00,1899-12-30 01:25:39,UberX,Cash,2,2.33,$9.5,Upper West Side North,1.0
39,2024-06-01 00:00:00,1899-12-30 01:08:08,UberX,Cash,1,1.6,$8.0,Queensbridge/Ravenswood,1.0
40,2024-06-01 00:00:00,1899-12-30 01:05:57,UberX,Uber Pay,1,4.3,$17.0,Murray Hill,1.0
41,2024-06-01 00:00:00,1899-12-30 01:39:34,Uber Comfort,Cash,1,2.53,$10.0,Manhattan Valley,1.0
42,2024-06-01 00:00:00,1899-12-30 01:13:38,Uber Black,Cash,1,4.8,$15.5,Kips Bay,1.0
43,2024-06-01 00:00:00,1899-12-30 01:43:19,UberX,Amazon Pay,1,7.5,$23.5,West Village,1.0
44,2024-06-01 00:00:00,1899-12-30 01:40:16,Uber Green,Cash,1,3.43,$13.0,Clinton East,1.0
45,2024-06-01 00:00:00,1899-12-30 01:14:42,Uber Black,Cash,1,2.73,$11.0,Upper West Side North,1.0
46,2024-06-01 00:00:00,1899-12-30 01:21:41,Uber Green,Uber Pay,1,4.64,$18.5,Murray Hill,1.0
47,2024-06-01 00:00:00,1899-12-30 01:41:08,Uber Comfort,Cash,1,2.61,$10.0,Little Italy/NoLiTa,1.0
48,2024-06-01 00:00:00,1899-12-30 01:25:38,UberX,Cash,1,3.84,$14.0,East Flatbush/Farragut,1.0
49,2024-06-01 00:00:00,1899-12-30 01:30:37,Uber Comfort,Cash,1,3,$2.5,TriBeCa/Civic Center,1.0
50,2024-06-01 00:00:00,1899-12-30 01:49:38,Uber Green,Uber Pay,1,7.27,$26.6,East Chelsea,1.0
51,2024-06-01 00:00:00,1899-12-30 01:43:51,Uber Comfort,Cash,1,1.32,$7.0,Jackson Heights,1.0
52,2024-06-01 00:00:00,1899-12-30 01:16:47,UberX,Cash,1,11.7,$35.5,Bloomingdale,1.0
53,2024-06-01 00:00:00,1899-12-30 01:49:56,Uber Black,Uber Pay,1,19.31,$56.3,Brownsville,1.0
54,2024-06-01 00:00:00,1899-12-30 01:19:28,UberX,Uber Pay,1,4.95,$21.0,Times Sq/Theatre District,1.0
55,2024-06-01 00:00:00,1899-12-30 01:12:48,Uber Black,Cash,2,4.02,$15.5,Far Rockaway,1.0
56,2024-06-01 00:00:00,1899-12-30 01:49:41,UberXL,Cash,1,2.5,$11.5,NV,1.0
57,2024-06-01 00:00:00,1899-12-30 01:47:02,UberX,Uber Pay,1,2.6,$16.4,Garment District,1.0
58,2024-06-01 00:00:00,1899-12-30 01:13:13,UberX,Uber Pay,4,3.27,$15.2,Lower East Side,1.0
59,2024-06-01 00:00:00,1899-12-30 01:35:07,Uber Comfort,Cash,2,6.25,$34.0,Little Italy/NoLiTa,1.0
60,2024-06-01 00:00:00,1899-12-30 01:17:15,UberX,Cash,1,7.9,$24.5,Chinatown,1.0
61,2024-06-01 00:00:00,1899-12-30 01:09:59,Uber Green,Cash,1,2.2,$10.0,Little Italy/NoLiTa,1.0
62,2024-06-01 00:00:00,1899-12-30 02:06:06,UberX,Cash,1,11.59,$32.0,Kips Bay,1.0
63,2024-06-01 00:00:00,1899-12-30 02:51:42,UberX,Cash,1,1.86,$8.0,Murray Hill,1.0
64,2024-06-01 00:00:00,1899-12-30 02:25:45,Uber Black,Uber Pay,2,2.48,$14.1,Union Sq,1.0
65,2024-06-01 00:00:00,1899-12-30 02:03:30,UberX,Cash,1,5.7,$21.0,Sutton Place/Turtle Bay North,1.0
66,2024-06-01 00:00:00,1899-12-30 02:25:48,Uber Green,Uber Pay,1,3.05,$13.0,Greenwich Village North,1.0
67,2024-06-01 00:00:00,1899-12-30 02:15:54,Uber Green,Cash,2,1.22,$5.5,Greenwich Village South,1.0
68,2024-06-01 00:00:00,1899-12-30 02:26:51,Uber Green,Cash,2,3.71,$17.5,Murray Hill,1.0
69,2024-06-01 00:00:00,1899-12-30 02:37:23,Uber Comfort,Cash,5,11.12,$31.5,Penn Station/Madison Sq West,1.0
70,2024-06-01 00:00:00,1899-12-30 02:56:08,Uber Comfort,Uber Pay,1,6.04,$22.0,Downtown Brooklyn/MetroTech,1.0
71,2024-06-01 00:00:00,1899-12-30 02:00:59,UberX,Cash,1,5.38,$18.5,Fort Greene,1.0
72,2024-06-01 00:00:00,1899-12-30 02:10:13,Uber Green,Cash,6,5.9,$19.0,East Harlem North,1.0
73,2024-06-01 00:00:00,1899-12-30 02:01:56,UberX,Uber Pay,2,2.3,$10.5,Yorkville West,1.0
74,2024-06-01 00:00:00,1899-12-30 02:36:12,Uber Black,Cash,1,2.4,$10.0,Flushing,1.0
75,2024-06-01 00:00:00,1899-12-30 03:56:24,UberX,Uber Pay,1,9.4,$27.0,East Harlem North,1.0
76,2024-06-01 00:00:00,1899-12-30 03:55:57,UberX,Cash,1,2,$8.0,Upper West Side North,1.0
77,2024-06-01 00:00:00,1899-12-30 03:59:44,UberX,Cash,1,8.3,$24.5,East Village,1.0
78,2024-06-01 00:00:00,1899-12-30 03:04:27,Uber Comfort,Uber Pay,1,15.87,$43.0,Upper West Side North,1.0
79,2024-06-01 00:00:00,1899-12-30 03:30:42,UberX,Cash,1,5.05,$15.5,Flatiron,1.0
80,2024-06-01 00:00:00,1899-12-30 03:28:01,Uber Green,Uber Pay,2,3.54,$15.2,Yorkville East,1.0
81,2024-06-01 00:00:00,1899-12-30 03:37:34,Uber Black,Uber Pay,1,1.8,$8.5,Clinton East,1.0
82,2024-06-01 00:00:00,1899-12-30 03:44:06,UberX,Cash,1,1.38,$7.0,Penn Station/Madison Sq West,1.0
83,2024-06-01 00:00:00,1899-12-30 03:18:00,UberXL,Cash,1,1.41,$6.5,Penn Station/Madison Sq West,1.0
84,2024-06-01 00:00:00,1899-12-30 03:54:57,UberX,Cash,1,1.23,$7.0,Upper West Side South,1.0
85,2024-06-01 00:00:00,1899-12-30 03:14:20,UberX,Cash,2,16.77,$45.0,Mott Haven/Port Morris,1.0
86,2024-06-01 00:00:00,1899-12-30 03:10:46,UberX,Cash,1,8.3,$27.5,East Village,1.0
87,2024-06-01 00:00:00,1899-12-30 03:46:48,UberX,Cash,2,3.1,$11.5,East Harlem South,1.0
88,2024-06-01 00:00:00,1899-12-30 04:34:48,Uber Comfort,Uber Pay,1,2.61,$13.5,Chinatown,1.0
89,2024-06-01 00:00:00,1899-12-30 04:04:39,UberX,Cash,2,13.15,$38.5,Greenwich Village South,1.0
90,2024-06-01 00:00:00,1899-12-30 04:55:19,Uber Black,Cash,2,2.85,$10.5,Washington Heights South,1.0
91,2024-06-01 00:00:00,1899-12-30 04:38:47,UberX,Uber Pay,1,4.2,$15.0,Upper West Side North,1.0
92,2024-06-01 00:00:00,1899-12-30 04:08:49,UberXL,Cash,1,3.45,$13.5,Penn Station/Madison Sq West,1.0
93,2024-06-01 00:00:00,1899-12-30 04:19:05,UberX,Cash,1,1.8,$8.0,Central Harlem North,1.0
94,2024-06-01 00:00:00,1899-12-30 04:10:56,UberX,Cash,1,8.7,$27.0,Forest Hills,1.0
95,2024-06-01 00:00:00,1899-12-30 03:57:53,Uber Comfort,Uber Pay,1,8.8,$25.5,Briarwood/Jamaica Hills,1.0
96,2024-06-01 00:00:00,1899-12-30 04:11:28,UberX,Uber Pay,1,10.83,$31.0,Kips Bay,1.0
97,2024-06-01 00:00:00,1899-12-30 05:13:59,UberX,Cash,1,1.3,$7.5,Upper West Side South,1.0
98,2024-06-01 00:00:00,1899-12-30 05:56:07,Uber Green,Uber Pay,1,1.1,$6.9,Upper West Side North,1.0
99,2024-06-01 00:00:00,1899-12-30 05:30:43,UberX,Cash,6,5.02,$16.0,Manhattan Valley,1.0
100,2024-06-01 00:00:00,1899-12-30 05:32:11,UberX,Uber Pay,1,2.52,$13.4,Midtown South,1.0
101,2024-06-01 00:00:00,1899-12-30 05:29:40,Uber Black,Uber Pay,1,1.8,$11.0,Penn Station/Madison Sq West,1.0
102,2024-06-01 00:00:00,1899-12-30 05:30:16,UberX,Uber Pay,2,1.65,$9.8,Penn Station/Madison Sq West,1.0
103,2024-06-01 00:00:00,1899-12-30 05:20:27,UberX,Cash,1,8.95,$26.0,JFK Airport,1.0
104,2024-06-01 00:00:00,1899-12-30 05:24:08,Uber Black,Uber Pay,3,1.15,$7.8,Penn Station/Madison Sq West,1.0
105,2024-06-01 00:00:00,1899-12-30 05:27:37,UberX,Cash,1,4.2,$14.5,Gramercy,1.0
106,2024-06-01 00:00:00,1899-12-30 05:41:12,Uber Green,Cash,1,1.05,$5.0,East Harlem North,1.0
107,2024-06-01 00:00:00,1899-12-30 05:46:24,UberX,Uber Pay,1,1.62,$9.2,Lincoln Square East,1.0
108,2024-06-01 00:00:00,1899-12-30 05:20:34,Uber Comfort,Cash,4,1.56,$7.0,Sutton Place/Turtle Bay North,1.0
109,2024-06-01 00:00:00,1899-12-30 05:53:34,Uber Green,Uber Pay,1,4.7,$20.5,Upper West Side North,1.0
110,2024-06-01 00:00:00,1899-12-30 05:47:47,UberX,Cash,1,10.1,$29.5,JFK Airport,1.0
111,2024-06-01 00:00:00,1899-12-30 05:24:17,UberX,Cash,1,1.2,$6.0,East Harlem South,1.0
112,2024-06-01 00:00:00,1899-12-30 05:19:56,UberX,Uber Pay,1,7.1,$23.5,East Chelsea,1.0
113,2024-06-01 00:00:00,1899-12-30 05:47:25,Uber Comfort,Cash,5,2,$8.5,Upper West Side North,1.0
114,2024-06-01 00:00:00,1899-12-30 05:26:46,UberX,Cash,1,7.7,$24.0,Garment District,1.0
115,2024-06-01 00:00:00,1899-12-30 05:20:42,Uber Black,Cash,1,1.59,$7.5,Lincoln Square West,1.0
116,2024-06-01 00:00:00,1899-12-30 05:40:23,Uber Black,Uber Pay,1,1.56,$8.6,Lenox Hill East,1.0
117,2024-06-01 00:00:00,1899-12-30 05:53:55,Uber Comfort,Cash,1,3.73,$13.0,Times Sq/Theatre District,1.0
118,2024-06-01 00:00:00,1899-12-30 05:38:18,UberX,Uber Pay,1,3.3,$15.5,Garment District,1.0
119,2024-06-01 00:00:00,1899-12-30 05:41:43,UberX,Uber Pay,2,4.89,$16.0,East Harlem South,1.0
120,2024-06-01 00:00:00,1899-12-30 05:58:48,Uber Green,Uber Pay,1,3.2,$12.0,Penn Station/Madison Sq West,1.0
121,2024-06-01 00:00:00,1899-12-30 04:59:28,UberX,Cash,1,3.09,$11.5,Lincoln Square East,1.0
122,2024-06-01 00:00:00,1899-12-30 05:58:05,UberXL,Cash,1,1.46,$6.5,Clinton East,1.0
123,2024-06-01 00:00:00,1899-12-30 05:33:43,Uber Green,Cash,1,2.01,$8.5,Lenox Hill East,1.0
124,2024-06-01 00:00:00,1899-12-30 05:33:48,UberX,Cash,3,4.1,$13.5,Mott Haven/Port Morris,1.0
125,2024-06-01 00:00:00,1899-12-30 05:26:01,UberX,Cash,1,1.47,$8.0,Kips Bay,1.0
126,2024-06-01 00:00:00,1899-12-30 04:58:40,UberX,Cash,1,1.35,$6.5,Clinton East,1.0
127,2024-06-01 00:00:00,1899-12-30 05:24:54,UberX,Uber Pay,1,2.28,$11.6,Lincoln Square West,1.0
128,2024-06-01 00:00:00,1899-12-30 05:57:26,Uber Black,Uber Pay,1,1.7,$7.5,Garment District,1.0
129,2024-06-01 00:00:00,1899-12-30 05:43:54,Uber Black,Uber Pay,1,3.24,$13.6,Lincoln Square West,1.0
130,2024-06-01 00:00:00,1899-12-30 05:49:21,UberXL,Uber Pay,1,1.7,$11.5,East Harlem South,1.0
131,2024-06-01 00:00:00,1899-12-30 05:19:46,UberX,Uber Pay,1,17.73,$56.7,JFK Airport,1.0
132,2024-06-01 00:00:00,1899-12-30 05:59:50,Uber Comfort,Cash,1,1.37,$6.5,Penn Station/Madison Sq West,1.0
133,2024-06-01 00:00:00,1899-12-30 05:58:01,UberXL,Uber Pay,1,10.48,$36.3,JFK Airport,1.0
134,2024-06-01 00:00:00,1899-12-30 06:32:40,UberX,Uber Pay,1,2.7,$12.6,Upper West Side North,1.0
135,2024-06-01 00:00:00,1899-12-30 06:40:53,UberX,Cash,1,1.12,$5.5,Central Harlem North,1.0
136,2024-06-01 00:00:00,1899-12-30 06:29:42,Uber Comfort,Cash,1,1.3,$6.5,Penn Station/Madison Sq West,1.0
137,2024-06-01 00:00:00,1899-12-30 06:57:21,UberXL,Uber Pay,1,1.7,$9.0,Yorkville West,1.0
138,2024-06-01 00:00:00,1899-12-30 06:48:04,Uber Green,Cash,1,1.8,$7.5,Greenwich Village North,1.0
139,2024-06-01 00:00:00,1899-12-30 06:17:53,UberX,Uber Pay,1,1.9,$10.9,Penn Station/Madison Sq West,1.0
140,2024-06-01 00:00:00,1899-12-30 07:41:37,UberX,Uber Pay,1,2.27,$11.5,Central Park,1.0
141,2024-06-01 00:00:00,1899-12-30 06:09:07,UberXL,Cash,1,1.25,$12.0,Bloomingdale,1.0
142,2024-06-01 00:00:00,1899-12-30 06:32:50,UberX,Cash,1,2.79,$10.5,Central Park,1.0
143,2024-06-01 00:00:00,1899-12-30 06:07:41,UberX,Cash,1,3.16,$12.5,East Village,1.0
144,2024-06-01 00:00:00,1899-12-30 06:45:46,Uber Green,Cash,1,2.72,$10.5,East Village,1.0
145,2024-06-01 00:00:00,1899-12-30 06:49:12,UberX,Uber Pay,1,1.32,$6.5,East Harlem South,1.0
146,2024-06-01 00:00:00,1899-12-30 06:10:25,Uber Black,Uber Pay,1,3.5,$16.9,TriBeCa/Civic Center,1.0
147,2024-06-01 00:00:00,1899-12-30 06:40:06,UberX,Cash,1,1.94,$7.5,Lincoln Square East,1.0
148,2024-06-01 00:00:00,1899-12-30 06:11:23,UberX,Cash,1,1.7,$7.5,Kips Bay,1.0
149,2024-06-01 00:00:00,1899-12-30 05:57:48,UberXL,Uber Pay,1,1.4,$9.0,Penn Station/Madison Sq West,1.0
150,2024-06-01 00:00:00,1899-12-30 06:55:34,UberX,Uber Pay,1,2.47,$12.7,Flatiron,1.0
151,2024-06-01 00:00:00,1899-12-30 06:06:57,Uber Green,Uber Pay,1,18.93,$66.1,Lincoln Square West,1.0
152,2024-06-01 00:00:00,1899-12-30 06:22:54,UberX,Cash,1,11.9,$35.0,Midtown North,1.0
153,2024-06-01 00:00:00,1899-12-30 06:57:07,Uber Black,Uber Pay,1,1.6,$10.0,Lenox Hill East,1.0
154,2024-06-01 00:00:00,1899-12-30 06:56:48,UberXL,Uber Pay,2,1.52,$9.4,Midtown East,1.0
155,2024-06-01 00:00:00,1899-12-30 06:56:30,Uber Green,Uber Pay,4,1.67,$9.7,Lenox Hill East,1.0
156,2024-06-01 00:00:00,1899-12-30 06:30:17,UberX,Uber Pay,1,4.51,$17.5,Yorkville East,1.0
157,2024-06-01 00:00:00,1899-12-30 06:25:45,Uber Green,Uber Pay,1,3.44,$17.1,Upper West Side North,1.0
158,2024-06-01 00:00:00,1899-12-30 06:00:40,UberXL,Cash,1,1.2,$6.5,Midtown East,1.0
159,2024-06-01 00:00:00,1899-12-30 06:37:38,UberXL,Cash,1,2,$7.5,Upper East Side South,1.0
160,2024-06-01 00:00:00,1899-12-30 06:42:11,UberX,Uber Pay,1,3.41,$15.7,Upper East Side North,1.0
161,2024-06-01 00:00:00,1899-12-30 06:26:15,Uber Green,Uber Pay,1,1.7,$10.3,Lower East Side,1.0
162,2024-06-01 00:00:00,1899-12-30 06:57:58,UberX,Cash,1,1.74,$9.5,East Harlem South,1.0
163,2024-06-01 00:00:00,1899-12-30 06:34:02,UberX,Uber Pay,1,1.11,$6.7,East Village,1.0
164,2024-06-01 00:00:00,1899-12-30 06:26:11,UberX,Cash,1,2.12,$8.5,Lincoln Square East,1.0
165,2024-06-01 00:00:00,1899-12-30 06:20:51,UberXL,Uber Pay,1,1.83,$9.1,UN/Turtle Bay South,1.0
166,2024-06-01 00:00:00,1899-12-30 06:37:30,UberX,Uber Pay,1,1.93,$10.3,Penn Station/Madison Sq West,1.0
167,2024-06-01 00:00:00,1899-12-30 06:03:59,Uber Black,Cash,2,1.64,$8.5,Garment District,1.0
168,2024-06-01 00:00:00,1899-12-30 06:22:28,UberX,Uber Pay,2,1.01,$6.7,Murray Hill,1.0
169,2024-06-01 00:00:00,1899-12-30 06:42:35,Uber Green,Uber Pay,1,2.4,$12.0,Yorkville East,1.0
170,2024-06-01 00:00:00,1899-12-30 06:49:56,Uber Black,Cash,1,4.84,$18.5,UN/Turtle Bay South,1.0
171,2024-06-01 00:00:00,1899-12-30 06:53:59,UberX,Uber Pay,1,2.9,$16.3,Central Park,1.0
172,2024-06-01 00:00:00,1899-12-30 06:44:37,UberX,Uber Pay,1,5.28,$22.5,Upper West Side North,1.0
173,2024-06-01 00:00:00,1899-12-30 06:37:52,UberX,Uber Pay,1,11.68,$40.4,JFK Airport,1.0
174,2024-06-01 00:00:00,1899-12-30 06:00:41,UberX,Uber Pay,1,3.3,$13.0,Morningside Heights,1.0
175,2024-06-01 00:00:00,1899-12-30 06:29:50,Uber Black,Uber Pay,1,2.9,$12.5,Midtown East,1.0
176,2024-06-01 00:00:00,1899-12-30 06:22:47,Uber Comfort,Uber Pay,1,1.4,$8.0,Clinton East,1.0
177,2024-06-01 00:00:00,1899-12-30 06:33:27,Uber Black,Uber Pay,1,3.32,$15.8,Midtown Center,1.0
178,2024-06-01 00:00:00,1899-12-30 06:54:48,UberX,Cash,1,2.73,$9.0,Gramercy,1.0
179,2024-06-01 00:00:00,1899-12-30 06:14:16,Uber Black,Uber Pay,3,3.42,$16.9,Lincoln Square East,1.0
180,2024-06-01 00:00:00,1899-12-30 06:54:02,UberX,Amazon Pay,1,1.1,$6.0,NV,1.0
181,2024-06-01 00:00:00,1899-12-30 06:56:03,UberX,Cash,3,1.3,$7.0,Yorkville West,1.0
182,2024-06-01 00:00:00,1899-12-30 06:59:07,UberX,Uber Pay,1,1.84,$9.7,Lenox Hill East,1.0
183,2024-06-01 00:00:00,1899-12-30 06:55:52,UberX,Cash,1,2,$10.0,Central Harlem,1.0
184,2024-06-01 00:00:00,1899-12-30 06:24:58,Uber Comfort,Cash,1,1.09,$5.5,Midtown South,1.0
185,2024-06-01 00:00:00,1899-12-30 06:34:01,Uber Black,Cash,1,3.72,$15.5,Greenwich Village South,1.0
186,2024-06-01 00:00:00,1899-12-30 06:43:10,Uber Black,Uber Pay,1,3.51,$15.7,Upper East Side North,1.0
187,2024-06-01 00:00:00,1899-12-30 06:26:44,UberX,Cash,6,3.06,$12.0,Lincoln Square East,1.0
188,2024-06-01 00:00:00,1899-12-30 05:58:59,UberX,Cash,1,10.58,$33.5,Central Harlem North,1.0
189,2024-06-01 00:00:00,1899-12-30 06:33:11,UberX,Uber Pay,1,1.54,$9.5,Midtown East,1.0
190,2024-06-01 00:00:00,1899-12-30 06:46:56,UberX,Cash,2,1.39,$7.0,Penn Station/Madison Sq West,1.0
191,2024-06-01 00:00:00,1899-12-30 06:36:56,UberX,Uber Pay,1,2.6,$11.5,Upper East Side North,1.0
192,2024-06-01 00:00:00,1899-12-30 06:52:37,UberX,Cash,1,2.7,$9.5,Upper West Side North,1.0
193,2024-06-01 00:00:00,1899-12-30 06:19:21,Uber Black,Cash,1,1.02,$5.5,Penn Station/Madison Sq West,1.0
194,2024-06-01 00:00:00,1899-12-30 06:51:14,Uber Green,Uber Pay,1,1.47,$7.9,Upper West Side South,1.0
195,2024-06-01 00:00:00,1899-12-30 06:00:13,UberX,Uber Pay,1,2,$10.3,NV,1.0
196,2024-06-01 00:00:00,1899-12-30 06:30:37,Uber Black,Uber Pay,1,3,$15.1,Sutton Place/Turtle Bay North,1.0
197,2024-06-01 00:00:00,1899-12-30 06:30:58,UberX,Uber Pay,1,2.7,$10.5,Times Sq/Theatre District,1.0
198,2024-06-01 00:00:00,1899-12-30 06:36:56,Uber Green,Cash,1,1.8,$8.0,East Chelsea,1.0
199,2024-06-01 00:00:00,1899-12-30 06:25:25,UberXL,Cash,1,2,$7.5,Yorkville West,1.0
200,2024-06-01 00:00:00,1899-12-30 06:36:31,UberX,Uber Pay,2,1.2,$7.7,Gramercy,1.0
201,2024-06-01 00:00:00,1899-12-30 06:43:39,UberX,Uber Pay,1,2.8,$12.5,East Chelsea,1.0
202,2024-06-01 00:00:00,1899-12-30 06:59:12,Uber Black,Uber Pay,1,2.5,$12.7,Lenox Hill West,1.0
203,2024-06-01 00:00:00,1899-12-30 06:32:39,UberX,Cash,1,1.43,$6.0,UN/Turtle Bay South,1.0
204,2024-06-01 00:00:00,1899-12-30 06:53:31,UberX,Uber Pay,1,2.92,$13.5,Flatiron,1.0
205,2024-06-01 00:00:00,1899-12-30 06:15:51,UberXL,Cash,1,4.39,$15.5,Upper West Side South,1.0
206,2024-06-01 00:00:00,1899-12-30 06:33:01,UberX,Uber Pay,1,1.39,$9.5,Penn Station/Madison Sq West,1.0
207,2024-06-01 00:00:00,1899-12-30 06:02:40,UberX,Uber Pay,1,1.4,$10.2,Clinton East,1.0
208,2024-06-01 00:00:00,1899-12-30 06:35:36,UberX,Uber Pay,1,2.03,$16.0,UN/Turtle Bay South,1.0
209,2024-06-01 00:00:00,1899-12-30 06:21:03,UberX,Uber Pay,1,1.7,$9.1,Clinton East,1.0
210,2024-06-01 00:00:00,1899-12-30 06:47:24,Uber Comfort,Uber Pay,1,2.43,$10.9,Gramercy,1.0
211,2024-06-01 00:00:00,1899-12-30 06:25:46,UberX,Uber Pay,1,1.34,$10.1,Penn Station/Madison Sq West,1.0
212,2024-06-01 00:00:00,1899-12-30 06:38:19,UberX,Cash,1,1.9,$8.5,Penn Station/Madison Sq West,1.0
213,2024-06-01 00:00:00,1899-12-30 06:46:00,UberXL,Cash,1,2.3,$10.5,Sunnyside,1.0
214,2024-06-01 00:00:00,1899-12-30 06:41:43,UberX,Uber Pay,2,1.41,$14.5,Penn Station/Madison Sq West,1.0
215,2024-06-01 00:00:00,1899-12-30 06:35:49,UberX,Cash,1,2.2,$9.0,Upper West Side North,1.0
216,2024-06-01 00:00:00,1899-12-30 06:54:43,UberX,Uber Pay,1,1.8,$11.4,Murray Hill,1.0
217,2024-06-01 00:00:00,1899-12-30 06:47:27,UberX,Cash,4,1.57,$8.0,East Harlem South,1.0
218,2024-06-01 00:00:00,1899-12-30 06:28:29,Uber Black,Uber Pay,1,5.66,$27.0,Clinton East,1.0
219,2024-06-01 00:00:00,1899-12-30 06:51:47,Uber Black,Cash,1,3.6,$14.5,TriBeCa/Civic Center,1.0
220,2024-06-01 00:00:00,1899-12-30 06:49:58,Uber Comfort,Cash,1,1.74,$6.5,Yorkville East,1.0
221,2024-06-01 00:00:00,1899-12-30 06:11:14,UberXL,Cash,1,1.4,$7.5,Gramercy,1.0
222,2024-06-01 00:00:00,1899-12-30 06:07:02,Uber Black,Uber Pay,1,2.4,$14.0,Midtown East,1.0
223,2024-06-01 00:00:00,1899-12-30 06:24:49,UberXL,Uber Pay,1,4.56,$22.3,Garment District,1.0
224,2024-06-01 00:00:00,1899-12-30 06:33:49,UberX,Uber Pay,1,1.52,$9.7,Lenox Hill East,1.0
225,2024-06-01 00:00:00,1899-12-30 06:51:29,Uber Comfort,Uber Pay,1,1.64,$9.0,Lincoln Square East,1.0
